"site","model_name","resolution","max_key_Rhat","is_converged","confidence"
"nwis_01104430","nwis_01104430-1-170214 1.0.1 bayes_15min","15min",12.166583605593,FALSE,NA
"nwis_01124000","nwis_01124000-2-170214 1.0.1 bayes_15min","15min",1.00651574972418,TRUE,NA
"nwis_01125100","nwis_01125100-3-170214 1.0.1 bayes_15min","15min",1.00643786953879,TRUE,NA
"nwis_01184000","nwis_01184000-4-170214 1.0.1 bayes_15min","15min",2.86346671635498,FALSE,NA
"nwis_01193050","nwis_01193050-5-170214 1.0.1 bayes_15min","15min",1.91169858644932,FALSE,NA
"nwis_01196500","nwis_01196500-6-170214 1.0.1 bayes_15min","15min",1.11577311335552,TRUE,NA
"nwis_01201487","nwis_01201487-7-170214 1.0.1 bayes_15min","15min",1.02505432933006,TRUE,NA
"nwis_01208500","nwis_01208500-8-170214 1.0.1 bayes_15min","15min",1.02947061271804,TRUE,NA
"nwis_01208990","nwis_01208990-9-170214 1.0.1 bayes_15min","15min",1.01403096453321,TRUE,NA
"nwis_01382210","nwis_01382210-10-170214 1.0.1 bayes_15min","15min",1.04788764056243,TRUE,NA
"nwis_01388000","nwis_01388000-11-170214 1.0.1 bayes_60min","60min",6.2627461058196,FALSE,NA
"nwis_01400500","nwis_01400500-12-170214 1.0.1 bayes_15min","15min",1.01821977406037,TRUE,NA
"nwis_01400500","nwis_01400500-13-170214 1.0.1 bayes_30min","30min",1.03035496916262,TRUE,NA
"nwis_01400500","nwis_01400500-14-170214 1.0.1 bayes_60min","60min",1.4093338827649,FALSE,NA
"nwis_01400500","Overall",NA,NA,NA,NA
"nwis_01408500","nwis_01408500-15-170214 1.0.1 bayes_30min","30min",1.01197805763379,TRUE,NA
"nwis_01408500","nwis_01408500-16-170214 1.0.1 bayes_60min","60min",1.19055400854806,TRUE,NA
"nwis_01408500","Overall",NA,NA,NA,NA
"nwis_01433500","nwis_01433500-17-170214 1.0.1 bayes_15min","15min",1.00644172033443,TRUE,NA
"nwis_01454700","nwis_01454700-18-170214 1.0.1 bayes_15min","15min",2.14437822899485,FALSE,NA
"nwis_01463500","nwis_01463500-19-170214 1.0.1 bayes_60min","60min",1.0301153463367,TRUE,NA
"nwis_01473500","nwis_01473500-20-170214 1.0.1 bayes_15min","15min",1.62444187240697,FALSE,NA
"nwis_01473500","nwis_01473500-21-170214 1.0.1 bayes_30min","30min",1.73733205441717,FALSE,NA
"nwis_01473500","Overall",NA,NA,NA,NA
"nwis_01474500","nwis_01474500-22-170214 1.0.1 bayes_30min","30min",2.13987484143931,FALSE,NA
"nwis_01480617","nwis_01480617-23-170214 1.0.1 bayes_15min","15min",1.04936624062496,TRUE,NA
"nwis_01480617","nwis_01480617-24-170214 1.0.1 bayes_30min","30min",5.56624341307853,FALSE,NA
"nwis_01480617","Overall",NA,NA,NA,NA
"nwis_01480870","nwis_01480870-25-170214 1.0.1 bayes_15min","15min",1.02478242833048,TRUE,NA
"nwis_01480870","nwis_01480870-26-170214 1.0.1 bayes_30min","30min",1.0772743855475,TRUE,NA
"nwis_01480870","Overall",NA,NA,NA,NA
"nwis_01481000","nwis_01481000-27-170214 1.0.1 bayes_15min","15min",1.0094304897113,TRUE,NA
"nwis_01481000","nwis_01481000-28-170214 1.0.1 bayes_30min","30min",1.04770576990265,TRUE,NA
"nwis_01481000","Overall",NA,NA,NA,NA
"nwis_01481500","nwis_01481500-29-170214 1.0.1 bayes_15min","15min",1.01420883339889,TRUE,NA
"nwis_01484525","nwis_01484525-30-170214 1.0.1 bayes_15min","15min",1.96075617742445,FALSE,NA
"nwis_01487150","nwis_01487150-31-170214 1.0.1 bayes_15min","15min",1.87282905471758,FALSE,NA
"nwis_01493112","nwis_01493112-32-170214 1.0.1 bayes_15min","15min",1.05676933262648,TRUE,NA
"nwis_01540500","nwis_01540500-33-170214 1.0.1 bayes_15min","15min",1.06349254322447,TRUE,NA
"nwis_01542500","nwis_01542500-34-170214 1.0.1 bayes_15min","15min",1.02441934846244,TRUE,NA
"nwis_01544500","nwis_01544500-35-170214 1.0.1 bayes_15min","15min",1.00967988467818,TRUE,NA
"nwis_01548303","nwis_01548303-36-170214 1.0.1 bayes_15min","15min",NA,NA,NA
"nwis_01549700","nwis_01549700-37-170214 1.0.1 bayes_15min","15min",1.02972811347836,TRUE,NA
"nwis_01567000","nwis_01567000-38-170214 1.0.1 bayes_30min","30min",1.01901547176775,TRUE,NA
"nwis_01570500","nwis_01570500-39-170214 1.0.1 bayes_30min","30min",3.61132776436219,FALSE,NA
"nwis_01608500","nwis_01608500-40-170214 1.0.1 bayes_30min","30min",1.00552715700597,TRUE,NA
"nwis_01611500","nwis_01611500-41-170214 1.0.1 bayes_30min","30min",1.02204874217308,TRUE,NA
"nwis_01611500","nwis_01611500-42-170214 1.0.1 bayes_60min","60min",1.02594428164669,TRUE,NA
"nwis_01611500","Overall",NA,NA,NA,NA
"nwis_01632900","nwis_01632900-43-170214 1.0.1 bayes_15min","15min",1.01912370751715,TRUE,NA
"nwis_01645704","nwis_01645704-44-170214 1.0.1 bayes_15min","15min",1.00500894540341,TRUE,NA
"nwis_01645762","nwis_01645762-45-170214 1.0.1 bayes_15min","15min",1.00993138752092,TRUE,NA
"nwis_01646000","nwis_01646000-46-170214 1.0.1 bayes_15min","15min",1.02394167237107,TRUE,NA
"nwis_01646305","nwis_01646305-47-170214 1.0.1 bayes_15min","15min",1.02770207248847,TRUE,NA
"nwis_01646500","nwis_01646500-48-170214 1.0.1 bayes_15min","15min",1.72127174062145,FALSE,NA
"nwis_01648010","nwis_01648010-49-170214 1.0.1 bayes_5min","5min",1.01963081814339,TRUE,NA
"nwis_01648010","nwis_01648010-50-170214 1.0.1 bayes_15min","15min",1.00873691552317,TRUE,NA
"nwis_01648010","Overall",NA,NA,NA,NA
"nwis_01649190","nwis_01649190-51-170214 1.0.1 bayes_5min","5min",1.01093242470299,TRUE,NA
"nwis_01649190","nwis_01649190-52-170214 1.0.1 bayes_15min","15min",1.01709092137935,TRUE,NA
"nwis_01649190","Overall",NA,NA,NA,NA
"nwis_01649500","nwis_01649500-53-170214 1.0.1 bayes_5min","5min",1.00682878444001,TRUE,NA
"nwis_01649500","nwis_01649500-54-170214 1.0.1 bayes_15min","15min",1.01753951426978,TRUE,NA
"nwis_01649500","Overall",NA,NA,NA,NA
"nwis_01650800","nwis_01650800-55-170214 1.0.1 bayes_5min","5min",1.00546980494051,TRUE,NA
"nwis_0165389205","nwis_0165389205-56-170214 1.0.1 bayes_15min","15min",1.00804187748993,TRUE,NA
"nwis_01654000","nwis_01654000-57-170214 1.0.1 bayes_15min","15min",1.00866297102798,TRUE,NA
"nwis_01654500","nwis_01654500-58-170214 1.0.1 bayes_15min","15min",1.00647792494659,TRUE,NA
"nwis_01656903","nwis_01656903-59-170214 1.0.1 bayes_15min","15min",1.00939625113344,TRUE,NA
"nwis_01658000","nwis_01658000-60-170214 1.0.1 bayes_15min","15min",1.01043882483055,TRUE,NA
"nwis_0166818623","nwis_0166818623-61-170214 1.0.1 bayes_15min","15min",1.01988600530307,TRUE,NA
"nwis_0166818985","nwis_0166818985-62-170214 1.0.1 bayes_15min","15min",1.02886147206118,TRUE,NA
"nwis_01673000","nwis_01673000-63-170214 1.0.1 bayes_15min","15min",1.02576422081657,TRUE,NA
"nwis_02035000","nwis_02035000-64-170214 1.0.1 bayes_15min","15min",1.05089306539113,TRUE,NA
"nwis_02101726","nwis_02101726-65-170214 1.0.1 bayes_15min","15min",1.10673912205695,TRUE,NA
"nwis_02110400","nwis_02110400-66-170214 1.0.1 bayes_15min","15min",1.04571221088648,TRUE,NA
"nwis_02110500","nwis_02110500-67-170214 1.0.1 bayes_15min","15min",1.04692436677939,TRUE,NA
"nwis_02110550","nwis_02110550-68-170214 1.0.1 bayes_15min","15min",1.35054469240091,FALSE,NA
"nwis_02110701","nwis_02110701-69-170214 1.0.1 bayes_15min","15min",1.01012080956572,TRUE,NA
"nwis_02110704","nwis_02110704-70-170214 1.0.1 bayes_15min","15min",1.46675347451643,FALSE,NA
"nwis_0212378405","nwis_0212378405-71-170214 1.0.1 bayes_5min","5min",1.07274848145561,TRUE,NA
"nwis_0212378405","nwis_0212378405-72-170214 1.0.1 bayes_15min","15min",1.16788616939104,TRUE,NA
"nwis_0212378405","Overall",NA,NA,NA,NA
"nwis_02135000","nwis_02135000-73-170214 1.0.1 bayes_15min","15min",1.01834630774316,TRUE,NA
"nwis_02148315","nwis_02148315-74-170214 1.0.1 bayes_60min","60min",1.08665840329516,TRUE,NA
"nwis_02156500","nwis_02156500-75-170214 1.0.1 bayes_60min","60min",1.08274773963564,TRUE,NA
"nwis_02160105","nwis_02160105-76-170214 1.0.1 bayes_60min","60min",4.71026746120398,FALSE,NA
"nwis_02160700","nwis_02160700-77-170214 1.0.1 bayes_60min","60min",1.02705096598751,TRUE,NA
"nwis_02162035","nwis_02162035-78-170214 1.0.1 bayes_5min","5min",1.04376186951618,TRUE,NA
"nwis_02162035","nwis_02162035-79-170214 1.0.1 bayes_15min","15min",1.2743081062895,FALSE,NA
"nwis_02162035","Overall",NA,NA,NA,NA
"nwis_02168504","nwis_02168504-80-170214 1.0.1 bayes_60min","60min",NA,NA,NA
"nwis_02169000","nwis_02169000-81-170214 1.0.1 bayes_15min","15min",1.01433368265578,TRUE,NA
"nwis_02169000","nwis_02169000-82-170214 1.0.1 bayes_60min","60min",2.03655853074585,FALSE,NA
"nwis_02169000","Overall",NA,NA,NA,NA
"nwis_02171645","nwis_02171645-83-170214 1.0.1 bayes_15min","15min",1.15414745916482,TRUE,NA
"nwis_02171645","nwis_02171645-84-170214 1.0.1 bayes_60min","60min",1.0644085320415,TRUE,NA
"nwis_02171645","Overall",NA,NA,NA,NA
"nwis_02203655","nwis_02203655-85-170214 1.0.1 bayes_15min","15min",1.01205694448752,TRUE,NA
"nwis_02203700","nwis_02203700-86-170214 1.0.1 bayes_15min","15min",1.24695392379596,FALSE,NA
"nwis_02203863","nwis_02203863-87-170214 1.0.1 bayes_15min","15min",1.04092006468443,TRUE,NA
"nwis_02203900","nwis_02203900-88-170214 1.0.1 bayes_15min","15min",1.02856628344286,TRUE,NA
"nwis_02203950","nwis_02203950-89-170214 1.0.1 bayes_15min","15min",1.00872935658505,TRUE,NA
"nwis_02203960","nwis_02203960-90-170214 1.0.1 bayes_15min","15min",1.01740446213314,TRUE,NA
"nwis_02204037","nwis_02204037-91-170214 1.0.1 bayes_15min","15min",1.03904047361904,TRUE,NA
"nwis_02207135","nwis_02207135-92-170214 1.0.1 bayes_15min","15min",1.01508777939484,TRUE,NA
"nwis_02207160","nwis_02207160-93-170214 1.0.1 bayes_15min","15min",1.01509614606909,TRUE,NA
"nwis_02208450","nwis_02208450-94-170214 1.0.1 bayes_15min","15min",1.01602479499264,TRUE,NA
"nwis_02208493","nwis_02208493-95-170214 1.0.1 bayes_15min","15min",1.00786734240278,TRUE,NA
"nwis_02217643","nwis_02217643-96-170214 1.0.1 bayes_15min","15min",7.89374635138704,FALSE,NA
"nwis_02234000","nwis_02234000-97-170214 1.0.1 bayes_15min","15min",3.86920961764449,FALSE,NA
"nwis_02234000","nwis_02234000-98-170214 1.0.1 bayes_30min","30min",1.6287061216092,FALSE,NA
"nwis_02234000","Overall",NA,NA,NA,NA
"nwis_02234500","nwis_02234500-100-170214 1.0.1 bayes_30min","30min",1.4855208501955,FALSE,NA
"nwis_02234500","nwis_02234500-99-170214 1.0.1 bayes_15min","15min",2.35608232318894,FALSE,NA
"nwis_02234500","Overall",NA,NA,NA,NA
"nwis_02235500","nwis_02235500-101-170214 1.0.1 bayes_15min","15min",3.15137623983412,FALSE,NA
"nwis_02236000","nwis_02236000-102-170214 1.0.1 bayes_15min","15min",3.0407435639564,FALSE,NA
"nwis_02236000","nwis_02236000-103-170214 1.0.1 bayes_30min","30min",1.56650064243656,FALSE,NA
"nwis_02236000","Overall",NA,NA,NA,NA
"nwis_02236125","nwis_02236125-104-170214 1.0.1 bayes_15min","15min",2.29806894493518,FALSE,NA
"nwis_02236125","nwis_02236125-105-170214 1.0.1 bayes_30min","30min",1.45596065077983,FALSE,NA
"nwis_02236125","nwis_02236125-106-170214 1.0.1 bayes_60min","60min",1.36001277164407,FALSE,NA
"nwis_02236125","Overall",NA,NA,NA,NA
"nwis_02244040","nwis_02244040-107-170214 1.0.1 bayes_15min","15min",1.21389489051866,FALSE,NA
"nwis_02245260","nwis_02245260-108-170214 1.0.1 bayes_15min","15min",1.18305645803589,TRUE,NA
"nwis_02264000","nwis_02264000-109-170214 1.0.1 bayes_15min","15min",1.00457714236786,TRUE,NA
"nwis_02264000","nwis_02264000-110-170214 1.0.1 bayes_60min","60min",1.39426758231094,FALSE,NA
"nwis_02264000","Overall",NA,NA,NA,NA
"nwis_02264100","nwis_02264100-111-170214 1.0.1 bayes_15min","15min",1.02145938075331,TRUE,NA
"nwis_02264100","nwis_02264100-112-170214 1.0.1 bayes_30min","30min",1.03857278765977,TRUE,NA
"nwis_02264100","Overall",NA,NA,NA,NA
"nwis_02266200","nwis_02266200-113-170214 1.0.1 bayes_15min","15min",1.01621486025698,TRUE,NA
"nwis_02266200","nwis_02266200-114-170214 1.0.1 bayes_30min","30min",1.00931755666848,TRUE,NA
"nwis_02266200","nwis_02266200-115-170214 1.0.1 bayes_60min","60min",1.95276162339722,FALSE,NA
"nwis_02266200","Overall",NA,NA,NA,NA
"nwis_02266300","nwis_02266300-116-170214 1.0.1 bayes_15min","15min",1.01478615210862,TRUE,NA
"nwis_02266300","nwis_02266300-117-170214 1.0.1 bayes_60min","60min",1.07540635412748,TRUE,NA
"nwis_02266300","Overall",NA,NA,NA,NA
"nwis_02319302","nwis_02319302-118-170214 1.0.1 bayes_15min","15min",1.37102651150945,FALSE,NA
"nwis_02320250","nwis_02320250-119-170214 1.0.1 bayes_15min","15min",1.44865355542904,FALSE,NA
"nwis_02322688","nwis_02322688-120-170214 1.0.1 bayes_15min","15min",2.03675665390991,FALSE,NA
"nwis_02323502","nwis_02323502-121-170214 1.0.1 bayes_15min","15min",1.03607957766771,TRUE,NA
"nwis_02323566","nwis_02323566-122-170214 1.0.1 bayes_15min","15min",1.03251738270463,TRUE,NA
"nwis_02336120","nwis_02336120-123-170214 1.0.1 bayes_15min","15min",1.03276215729056,TRUE,NA
"nwis_02336152","nwis_02336152-124-170214 1.0.1 bayes_15min","15min",1.01474874528705,TRUE,NA
"nwis_023362095","nwis_023362095-125-170214 1.0.1 bayes_15min","15min",1.00913886345316,TRUE,NA
"nwis_02336240","nwis_02336240-126-170214 1.0.1 bayes_15min","15min",1.02219967846771,TRUE,NA
"nwis_02336300","nwis_02336300-127-170214 1.0.1 bayes_15min","15min",1.00975799030633,TRUE,NA
"nwis_02336313","nwis_02336313-128-170214 1.0.1 bayes_15min","15min",1.01514729814168,TRUE,NA
"nwis_02336340","nwis_02336340-129-170214 1.0.1 bayes_15min","15min",1.01345588090808,TRUE,NA
"nwis_02336360","nwis_02336360-130-170214 1.0.1 bayes_15min","15min",1.01268302180374,TRUE,NA
"nwis_02336410","nwis_02336410-131-170214 1.0.1 bayes_15min","15min",1.01968949970458,TRUE,NA
"nwis_02336526","nwis_02336526-132-170214 1.0.1 bayes_15min","15min",1.00467598431588,TRUE,NA
"nwis_02336728","nwis_02336728-133-170214 1.0.1 bayes_15min","15min",1.02242209402441,TRUE,NA
"nwis_02337170","nwis_02337170-134-170214 1.0.1 bayes_15min","15min",1.01192802769762,TRUE,NA
"nwis_02337170","nwis_02337170-135-170214 1.0.1 bayes_60min","60min",1.14709740296756,TRUE,NA
"nwis_02337170","Overall",NA,NA,NA,NA
"nwis_023432415","nwis_023432415-136-170214 1.0.1 bayes_15min","15min",1.02290554448883,TRUE,NA
"nwis_02344630","nwis_02344630-137-170214 1.0.1 bayes_15min","15min",1.02519787969664,TRUE,NA
"nwis_02397530","nwis_02397530-138-170214 1.0.1 bayes_15min","15min",2.77965016066,FALSE,NA
"nwis_02492620","nwis_02492620-139-170214 1.0.1 bayes_15min","15min",1.38852595129746,FALSE,NA
"nwis_03007800","nwis_03007800-140-170214 1.0.1 bayes_15min","15min",1.01692370801807,TRUE,NA
"nwis_03025500","nwis_03025500-141-170214 1.0.1 bayes_15min","15min",1.24128196930722,FALSE,NA
"nwis_03027500","nwis_03027500-142-170214 1.0.1 bayes_15min","15min",5.34049866790197,FALSE,NA
"nwis_03034000","nwis_03034000-143-170214 1.0.1 bayes_15min","15min",1.02778254938944,TRUE,NA
"nwis_03036000","nwis_03036000-144-170214 1.0.1 bayes_15min","15min",1.03464118531199,TRUE,NA
"nwis_03036000","nwis_03036000-145-170214 1.0.1 bayes_30min","30min",1.12841312024801,TRUE,NA
"nwis_03036000","nwis_03036000-146-170214 1.0.1 bayes_60min","60min",3.84704919119657,FALSE,NA
"nwis_03036000","Overall",NA,NA,NA,NA
"nwis_03058000","nwis_03058000-147-170214 1.0.1 bayes_15min","15min",1.94149134427946,FALSE,NA
"nwis_03058000","nwis_03058000-148-170214 1.0.1 bayes_30min","30min",4.85962528474308,FALSE,NA
"nwis_03058000","nwis_03058000-149-170214 1.0.1 bayes_60min","60min",4.54316784805798,FALSE,NA
"nwis_03058000","Overall",NA,NA,NA,NA
"nwis_03061000","nwis_03061000-150-170214 1.0.1 bayes_15min","15min",2.03778834166213,FALSE,NA
"nwis_03061000","nwis_03061000-151-170214 1.0.1 bayes_30min","30min",3.30445723322392,FALSE,NA
"nwis_03061000","nwis_03061000-152-170214 1.0.1 bayes_60min","60min",1.52557633830941,FALSE,NA
"nwis_03061000","Overall",NA,NA,NA,NA
"nwis_03067510","nwis_03067510-153-170214 1.0.1 bayes_15min","15min",1.01835894138752,TRUE,NA
"nwis_03067510","nwis_03067510-154-170214 1.0.1 bayes_30min","30min",1.00804302034545,TRUE,NA
"nwis_03067510","Overall",NA,NA,NA,NA
"nwis_03072655","nwis_03072655-155-170214 1.0.1 bayes_15min","15min",2.11243359811002,FALSE,NA
"nwis_03073000","nwis_03073000-156-170214 1.0.1 bayes_15min","15min",1.00954127510278,TRUE,NA
"nwis_03075070","nwis_03075070-157-170214 1.0.1 bayes_15min","15min",1.24099979765961,FALSE,NA
"nwis_03075070","nwis_03075070-158-170214 1.0.1 bayes_60min","60min",1.78372503241397,FALSE,NA
"nwis_03075070","Overall",NA,NA,NA,NA
"nwis_03081000","nwis_03081000-159-170214 1.0.1 bayes_15min","15min",1.01651413960489,TRUE,NA
"nwis_03081000","nwis_03081000-160-170214 1.0.1 bayes_60min","60min",1.01997278905166,TRUE,NA
"nwis_03081000","Overall",NA,NA,NA,NA
"nwis_03083500","nwis_03083500-161-170214 1.0.1 bayes_15min","15min",1.35593391533321,FALSE,NA
"nwis_03083500","nwis_03083500-162-170214 1.0.1 bayes_60min","60min",2.98734575971675,FALSE,NA
"nwis_03083500","Overall",NA,NA,NA,NA
"nwis_03098600","nwis_03098600-163-170214 1.0.1 bayes_60min","60min",1.01973715959002,TRUE,NA
"nwis_03105500","nwis_03105500-164-170214 1.0.1 bayes_15min","15min",1.02623821449712,TRUE,NA
"nwis_03106000","nwis_03106000-165-170214 1.0.1 bayes_15min","15min",1.00803979413917,TRUE,NA
"nwis_03121850","nwis_03121850-166-170214 1.0.1 bayes_60min","60min",13.9893715362787,FALSE,NA
"nwis_03183500","nwis_03183500-167-170214 1.0.1 bayes_30min","30min",1.01957499189539,TRUE,NA
"nwis_03183500","nwis_03183500-168-170214 1.0.1 bayes_60min","60min",1.01830647550187,TRUE,NA
"nwis_03183500","Overall",NA,NA,NA,NA
"nwis_03219500","nwis_03219500-169-170214 1.0.1 bayes_30min","30min",1.01178907916822,TRUE,NA
"nwis_03219500","nwis_03219500-170-170214 1.0.1 bayes_60min","60min",1.02861313976291,TRUE,NA
"nwis_03219500","Overall",NA,NA,NA,NA
"nwis_03228300","nwis_03228300-171-170214 1.0.1 bayes_60min","60min",1.16187444179377,TRUE,NA
"nwis_03255349","nwis_03255349-172-170214 1.0.1 bayes_15min","15min",1.02388278365822,TRUE,NA
"nwis_03259757","nwis_03259757-173-170214 1.0.1 bayes_15min","15min",1.0142001719205,TRUE,NA
"nwis_03259813","nwis_03259813-174-170214 1.0.1 bayes_15min","15min",1.00185754614268,TRUE,NA
"nwis_03289200","nwis_03289200-175-170214 1.0.1 bayes_15min","15min",1.01532622128062,TRUE,NA
"nwis_03292470","nwis_03292470-176-170214 1.0.1 bayes_15min","15min",1.02346196386522,TRUE,NA
"nwis_03292474","nwis_03292474-177-170214 1.0.1 bayes_15min","15min",1.01626059224172,TRUE,NA
"nwis_03292475","nwis_03292475-178-170214 1.0.1 bayes_15min","15min",1.01675773657967,TRUE,NA
"nwis_03292480","nwis_03292480-179-170214 1.0.1 bayes_15min","15min",NA,NA,NA
"nwis_03293000","nwis_03293000-180-170214 1.0.1 bayes_15min","15min",NA,NA,NA
"nwis_03293500","nwis_03293500-181-170214 1.0.1 bayes_15min","15min",1.01420021744675,TRUE,NA
"nwis_03293530","nwis_03293530-182-170214 1.0.1 bayes_15min","15min",1.01499534948424,TRUE,NA
"nwis_03294570","nwis_03294570-183-170214 1.0.1 bayes_15min","15min",1.00532788423457,TRUE,NA
"nwis_03297900","nwis_03297900-184-170214 1.0.1 bayes_15min","15min",1.11134718613091,TRUE,NA
"nwis_03298000","nwis_03298000-185-170214 1.0.1 bayes_15min","15min",1.01757563250048,TRUE,NA
"nwis_03298135","nwis_03298135-186-170214 1.0.1 bayes_15min","15min",1.10703525680605,TRUE,NA
"nwis_03298150","nwis_03298150-187-170214 1.0.1 bayes_15min","15min",1.00782315091418,TRUE,NA
"nwis_03298200","nwis_03298200-188-170214 1.0.1 bayes_15min","15min",NA,NA,NA
"nwis_03298250","nwis_03298250-189-170214 1.0.1 bayes_15min","15min",1.01947892376514,TRUE,NA
"nwis_03298300","nwis_03298300-190-170214 1.0.1 bayes_15min","15min",1.01082398015132,TRUE,NA
"nwis_03301900","nwis_03301900-191-170214 1.0.1 bayes_15min","15min",1.00603429232571,TRUE,NA
"nwis_03301940","nwis_03301940-192-170214 1.0.1 bayes_15min","15min",1.01167488122344,TRUE,NA
"nwis_03302000","nwis_03302000-193-170214 1.0.1 bayes_15min","15min",1.11822074887501,TRUE,NA
"nwis_03302030","nwis_03302030-194-170214 1.0.1 bayes_15min","15min",1.11252448333559,TRUE,NA
"nwis_03302050","nwis_03302050-195-170214 1.0.1 bayes_15min","15min",1.02355656798081,TRUE,NA
"nwis_03321500","nwis_03321500-196-170214 1.0.1 bayes_15min","15min",2.06233683172672,FALSE,NA
"nwis_03339000","nwis_03339000-197-170214 1.0.1 bayes_15min","15min",1.02209785779307,TRUE,NA
"nwis_03346500","nwis_03346500-198-170214 1.0.1 bayes_15min","15min",2.41947007102828,FALSE,NA
"nwis_03353200","nwis_03353200-199-170214 1.0.1 bayes_15min","15min",1.0198888001014,TRUE,NA
"nwis_03353420","nwis_03353420-200-170214 1.0.1 bayes_15min","15min",1.03810565068782,TRUE,NA
"nwis_03374100","nwis_03374100-201-170214 1.0.1 bayes_15min","15min",1.00600004303801,TRUE,NA
"nwis_03374100","nwis_03374100-202-170214 1.0.1 bayes_60min","60min",1.20063049471291,FALSE,NA
"nwis_03374100","Overall",NA,NA,NA,NA
"nwis_03408500","nwis_03408500-203-170214 1.0.1 bayes_30min","30min",1.02684123553144,TRUE,NA
"nwis_03409500","nwis_03409500-204-170214 1.0.1 bayes_30min","30min",1.04889291113116,TRUE,NA
"nwis_03430200","nwis_03430200-205-170214 1.0.1 bayes_30min","30min",1.15299997764321,TRUE,NA
"nwis_03460795","nwis_03460795-206-170214 1.0.1 bayes_15min","15min",1.17434744841582,TRUE,NA
"nwis_03512000","nwis_03512000-207-170214 1.0.1 bayes_15min","15min",1.016898786936,TRUE,NA
"nwis_03538830","nwis_03538830-208-170214 1.0.1 bayes_30min","30min",1.05838494465839,TRUE,NA
"nwis_03539600","nwis_03539600-209-170214 1.0.1 bayes_30min","30min",1.95069812914283,FALSE,NA
"nwis_03539778","nwis_03539778-210-170214 1.0.1 bayes_15min","15min",1.02843044566203,TRUE,NA
"nwis_03539778","nwis_03539778-211-170214 1.0.1 bayes_30min","30min",1.03577579672355,TRUE,NA
"nwis_03539778","Overall",NA,NA,NA,NA
"nwis_03597860","nwis_03597860-212-170214 1.0.1 bayes_30min","30min",4.77664459880828,FALSE,NA
"nwis_03597860","nwis_03597860-213-170214 1.0.1 bayes_60min","60min",9.57334079066469,FALSE,NA
"nwis_03597860","Overall",NA,NA,NA,NA
"nwis_04024000","nwis_04024000-214-170214 1.0.1 bayes_60min","60min",1.34246278616737,FALSE,NA
"nwis_04027000","nwis_04027000-215-170214 1.0.1 bayes_15min","15min",1.01229926864223,TRUE,NA
"nwis_04040000","nwis_04040000-216-170214 1.0.1 bayes_15min","15min",1.04092097049393,TRUE,NA
